Country,MAE,RMSE,MAPE_Percent
Germany,104772.81027225386,120689.03515714023,2.374916080973107
India,399677.25514475984,440283.9812824561,10.553716671475359
United States,4049643.5033669695,4329178.173737036,14.377252878346223
Japan,1540054.684358208,1598399.7834164181,36.386221313941924
China,7599365.614561367,7601345.422607081,40.983979758911694
